seller_id,seller_state,primary_product_category,delivery_eligible_seller_orders,late_seller_orders,seller_late_rate,seller_late_contribution,contribution_row_number,seller_gmv,seller_late_gmv,seller_negative_review_rate,expected_late_marketplace,excess_late_marketplace,excess_late_category,excess_late_destination,late_rate_2018_07,late_rate_2018_08,eligible_2018_08,late_rate_pp_change_latest_comparable,is_high_excess,is_high_rate_high_volume,is_recently_deteriorating,watchlist_reasons
4a3ca9315b744ce9f8e9374361493884,SP,bed_bath_table,1772,172,0.09706546275395034,0.026271574767068887,1,200472.92,20063.19,0.19145299145299147,118.60919528478392,53.39080471521608,42.2913194810674,55.13430305960024,0.01282051282051282,0.10204081632653061,49.0,0.0892203035060178,True,True,True,high_excess_late; high_rate_high_volume; recent_deterioration
06a2c3af7b3aee5d69171b0e14f0ee87,MA,health_beauty,389,74,0.19023136246786632,0.011302886818390102,11,36408.95,6564.22,0.16752577319587628,26.037797384752228,47.962202615247776,44.89451233571593,43.81493631940427,0.3380281690140845,0.015151515151515152,66.0,-0.32287665386256936,True,True,False,high_excess_late; high_rate_high_volume
4869f7a5dfa277a7dca6462dcf3b52b2,SP,watches_gifts,1124,118,0.10498220640569395,0.018023522223919352,3,229472.63,24509.2,0.1354723707664884,75.23517804745887,42.764821952541126,35.2602640622174,36.88534164960283,0.0,0.03614457831325301,83.0,0.03614457831325301,True,True,False,high_excess_late; high_rate_high_volume
1f50f920176fa81dab994f9023523100,SP,garden_tools,1399,124,0.08863473909935668,0.01893997250649152,2,106939.21,8250.3,0.14028776978417265,93.64236128860762,30.35763871139238,32.78730802665894,24.26727945008684,0.02564102564102564,0.0,35.0,-0.02564102564102564,True,False,False,high_excess_late
7d13fca15225358621be4086e1eb0964,SP,watches_gifts,558,64,0.11469534050179211,0.009775469680769817,13,113628.97,14042.44,0.1732142857142857,37.34984817658545,26.650151823414543,22.924579489962017,23.89805556233008,0.0,0.02040816326530612,49.0,0.02040816326530612,True,True,False,high_excess_late; high_rate_high_volume
8160255418d5aaa7dbdc9f4c64ebda44,SP,bed_bath_table,380,52,0.1368421052631579,0.007942569115625478,18,47017.69,6924.6,0.1724137931034483,25.43538047867827,26.56461952132173,24.18436873747495,25.956245873787967,0.0,0.0,15.0,0.0,True,True,False,high_excess_late; high_rate_high_volume
88460e8ebdecbfecb5f9601833981930,PR,computers_accessories,246,42,0.17073170731707318,0.006415151978005193,21,31546.55,6179.55,0.3093220338983051,16.46606209935488,25.53393790064512,26.461981217812784,26.887519585505252,0.07692307692307693,0.07142857142857142,14.0,-0.005494505494505495,True,True,False,high_excess_late; high_rate_high_volume
7c67e1448b00f6e969d365cea6b010ab,SP,office_furniture,973,89,0.09146968139773895,0.013594012524820528,6,187923.89,16506.17,0.25729166666666664,65.12796106777357,23.872038932226438,10.757165605095542,18.229882374285317,0.13513513513513514,0.1111111111111111,9.0,-0.024024024024024024,True,False,False,high_excess_late
ea8482cd71df3c1969d7b9473ff13abc,SP,telephony,1132,96,0.08480565371024736,0.014663204521154728,5,37177.52,2993.74,0.1546572934973638,75.77065974174684,20.229340258253163,16.006799417192813,17.617723965396152,0.05660377358490566,0.075,40.0,0.01839622641509434,True,False,False,high_excess_late
e5a3438891c0bfdb9394643f95273d8e,SP,fashion_bags_accessories,216,34,0.1574074074074074,0.005193218267908966,27,7738.35,1143.6,0.1834862385321101,14.458005745775015,19.541994254224985,22.110091743119266,19.980960946376857,,,,,True,True,False,high_excess_late; high_rate_high_volume
8b321bb669392f5163d04c59e235e066,SP,electronics,930,81,0.08709677419354839,0.012372078814724302,9,17535.69,1399.77,0.14743589743589744,62.249746960975756,18.75025303902424,9.886687797147385,13.815721688315843,0.029411764705882353,0.0,8.0,-0.029411764705882353,True,False,False,high_excess_late
