order_id,purchase_date,delivery_class,delivery_delay_days,seller_handling_days,carrier_transit_days,promised_window_days,purchase_to_delivery_days,gmv
1b3190b2dfa9d789e1f14c05b647a14a,2018-02-23,late,188,3.147835648148148,205.19097222222223,20,208.35175925925927,144.99
ca07593549f1816d26a572e06dc1eab6,2017-02-21,late,181,13.467025462962964,195.03394675925927,29,209.6286111111111,229.9
47b40429ed8cce3aee9199792275433f,2018-01-03,late,175,33.63695601851852,157.79378472222223,16,191.46354166666666,399.0
2fe324febf907e3ea3f2aa9650869fa5,2017-03-13,late,167,3.462997685185185,186.40016203703703,23,189.86315972222224,39.9
285ab9426d6982034523a855f55a885e,2017-03-08,late,166,0.42060185185185184,194.21300925925925,29,194.63361111111112,429.9
440d0d17af552815d15a9e41abe49359,2017-03-07,late,165,6.492071759259259,188.09215277777778,31,195.6340162037037,159.9
c27815f7e3dd0b926b58552628481575,2017-03-15,late,162,5.643842592592593,182.1,26,187.74384259259259,487.0
0f4519c5f1c541ddec9f21b3bddd533a,2017-03-09,late,161,12.66755787037037,181.38202546296296,33,194.04958333333335,231.27
d24e8541128cea179a11a65176e0a96f,2017-06-12,late,161,4.055162037037037,171.16101851851852,14,175.22381944444444,39.98
2d7561026d542c8dbd8f0daeadf67a43,2017-03-15,late,159,0.9200115740740741,187.21460648148147,29,188.13461805555556,32.9
2fb597c2f772eca01b1f5c561bf6cc7b,2017-03-08,late,155,4.614583333333333,190.2355902777778,40,194.8501736111111,239.96
6e82dcfb5eada6283dba34f164e636f5,2017-05-17,late,155,0.6493865740740741,180.99940972222223,28,182.65813657407406,351.82
ed8e9faf1b75f43ee027103957135663,2017-11-29,late,153,3.3450578703703706,167.9399537037037,20,173.13337962962962,73.8
dfe5f68118c2576143240b8d78e5940a,2017-03-17,late,153,4.247013888888889,181.98975694444445,33,186.23677083333334,119.6
2ba1366baecad3c3536f27546d129017,2017-02-28,late,152,0.5890277777777778,178.93056712962962,29,181.06052083333333,34.9
